	Smoothed Temp = 91.00, 
2017-05-01T23:02:09-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:02:09-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:02:09-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:09-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:10-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:10-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:10-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:10-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:10-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:10-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:11-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:11-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:11-04:00, 	Raw gas reading:,517,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:11-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:11-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:02:12-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
